question,entity,easting,northing,wikipedia,const
https://id.parliament.uk/gAyGqMRe,Blackpool_North_railway_station,331022.137348206,436680.428109158,https://en.wikipedia.org/wiki/Blackpool_North_railway_station,Blackpool North and Cleveleys
https://id.parliament.uk/gAyGqMRe,Cleveleys,331730.907019977,443257.737631018,https://en.wikipedia.org/wiki/Cleveleys,Blackpool North and Cleveleys
https://id.parliament.uk/TX06nw62,South_West_England,314414.736204535,118550.489128277,https://en.wikipedia.org/wiki/South_West_England,Taunton Deane
https://id.parliament.uk/hPaHskin,Bristol,358579.3512843,172906.059766189,https://en.wikipedia.org/wiki/Bristol,Bristol West
https://id.parliament.uk/JhzzdvT8,Basildon,572624.358552501,189730.544528159,https://en.wikipedia.org/wiki/Basildon,Basildon and Billericay
https://id.parliament.uk/JhzzdvT8,Billericay,567487.349948146,194901.403725236,https://en.wikipedia.org/wiki/Billericay,Basildon and Billericay
https://id.parliament.uk/umvCWwhD,Bristol,358579.3512843,172906.059766189,https://en.wikipedia.org/wiki/Bristol,Bristol West
https://id.parliament.uk/7noRfFeY,Gloucester,382882.69956986,218706.097213997,https://en.wikipedia.org/wiki/Gloucester,Gloucester
https://id.parliament.uk/7noRfFeY,Gloucestershire,388612.224261281,214982.225963461,https://en.wikipedia.org/wiki/Gloucestershire,Tewkesbury
https://id.parliament.uk/BXqkDeRH,Broxbourne,536669.452556507,207496.431754517,https://en.wikipedia.org/wiki/Broxbourne,Broxbourne
https://id.parliament.uk/BXqkDeRH,Richmond_House,530171.677604064,179896.363575009,https://en.wikipedia.org/wiki/Richmond_House,Cities of London and Westminster
https://id.parliament.uk/BXqkDeRH,Whitehall,530135.871615728,180023.04398428,https://en.wikipedia.org/wiki/Whitehall,Cities of London and Westminster
https://id.parliament.uk/BXqkDeRH,Richmond_House,530171.677604064,179896.363575009,https://en.wikipedia.org/wiki/Richmond_House,Cities of London and Westminster
https://id.parliament.uk/hTxTE0q4,Somerset,337078.372625607,133796.107961934,https://en.wikipedia.org/wiki/Somerset,Bridgwater and West Somerset
https://id.parliament.uk/jnR1SxUZ,British_Transport_Police,529101.575954716,184073.071052818,https://en.wikipedia.org/wiki/British_Transport_Police,Holborn and St Pancras
https://id.parliament.uk/o7vpfbpc,Gloucester,382882.69956986,218706.097213997,https://en.wikipedia.org/wiki/Gloucester,Gloucester
https://id.parliament.uk/o7vpfbpc,Gloucestershire,388612.224261281,214982.225963461,https://en.wikipedia.org/wiki/Gloucestershire,Tewkesbury
https://id.parliament.uk/XNaAfVIs,National_Cyber_Security_Centre_(Ireland),116782.669826722,390144.965280015,https://en.wikipedia.org/wiki/National_Cyber_Security_Centre_(Ireland),South Down
https://id.parliament.uk/NxNfkCO5,South_Staffordshire,387113.924297815,303132.813887008,https://en.wikipedia.org/wiki/South_Staffordshire,South Staffordshire
https://id.parliament.uk/NxNfkCO5,Staffordshire,392269.951141536,323272.296161564,https://en.wikipedia.org/wiki/Staffordshire,Stafford
https://id.parliament.uk/NxNfkCO5,West_Midlands_(county),411411.203230902,289134.922194551,https://en.wikipedia.org/wiki/West_Midlands_(county),Birmingham Hodge Hill
https://id.parliament.uk/NhuIiwLi,House_of_Lords,530257.1728332,179429.586270047,https://en.wikipedia.org/wiki/House_of_Lords,Cities of London and Westminster
https://id.parliament.uk/NhuIiwLi,House_of_Lords,530257.1728332,179429.586270047,https://en.wikipedia.org/wiki/House_of_Lords,Cities of London and Westminster
https://id.parliament.uk/UUFQpzS8,10_Downing_Street,530061.226065205,179924.694019798,https://en.wikipedia.org/wiki/10_Downing_Street,Cities of London and Westminster
https://id.parliament.uk/9UyUpYAX,Askham_Bryan,455319.574210442,448424.209439817,https://en.wikipedia.org/wiki/Askham_Bryan,York Outer
https://id.parliament.uk/9UyUpYAX,York,460461.998917685,451937.636643895,https://en.wikipedia.org/wiki/York,York Central
https://id.parliament.uk/9l24IA6x,HM_Prison_Wandsworth,526728.635699034,173925.158213104,https://en.wikipedia.org/wiki/HM_Prison_Wandsworth,Tooting
https://id.parliament.uk/MfojiHdr,Citizens_Advice,532101.41285921,181588.359284495,https://en.wikipedia.org/wiki/Citizens_Advice,Cities of London and Westminster
https://id.parliament.uk/YZWaWYgs,Manchester,383819.201830749,398108.113968733,https://en.wikipedia.org/wiki/Manchester,Manchester Central
https://id.parliament.uk/YZWaWYgs,Bradford,416563.867392519,433773.048372945,https://en.wikipedia.org/wiki/Bradford,Bradford West
https://id.parliament.uk/YZWaWYgs,Leeds,430159.438640699,433562.472685,https://en.wikipedia.org/wiki/Leeds,Leeds Central
https://id.parliament.uk/0rQnV08j,Cheshire,361099.537466731,363442.21264381,https://en.wikipedia.org/wiki/Cheshire,Eddisbury
https://id.parliament.uk/5kyl71y9,Birmingham,406718.817058306,286901.644467678,https://en.wikipedia.org/wiki/Birmingham,Birmingham Ladywood
https://id.parliament.uk/QsXZJEhc,Essex,578421.367844781,208857.886884865,https://en.wikipedia.org/wiki/Essex,Maldon
https://id.parliament.uk/XALmM26P,Kingston_upon_Hull,510068.371689627,428853.208249461,https://en.wikipedia.org/wiki/Kingston_upon_Hull,Kingston upon Hull West and Hessle
https://id.parliament.uk/r5JXGTNw,Essex,578421.367844781,208857.886884865,https://en.wikipedia.org/wiki/Essex,Maldon
https://id.parliament.uk/lG7wfnrS,Kingston_upon_Hull,510068.371689627,428853.208249461,https://en.wikipedia.org/wiki/Kingston_upon_Hull,Kingston upon Hull West and Hessle
https://id.parliament.uk/vKa6yjWi,Diocese_of_Hereford,351001.308273008,239777.051995779,https://en.wikipedia.org/wiki/Diocese_of_Hereford,Hereford and South Herefordshire
https://id.parliament.uk/vKa6yjWi,Diocese_of_Lichfield,411555.130130948,309769.875920327,https://en.wikipedia.org/wiki/Diocese_of_Lichfield,Lichfield
https://id.parliament.uk/ywEHooLe,Southwark,532669.891851898,179491.349078094,https://en.wikipedia.org/wiki/Southwark,Bermondsey and Old Southwark
https://id.parliament.uk/ywEHooLe,The_Wrekin,362799.837107979,308000.46442688,https://en.wikipedia.org/wiki/The_Wrekin,The Wrekin
https://id.parliament.uk/ywEHooLe,Shropshire,351575.321508783,302340.832927324,https://en.wikipedia.org/wiki/Shropshire,Shrewsbury and Atcham
https://id.parliament.uk/czw15OoD,Law_Commission_(England_and_Wales),529611.680780018,179579.386100985,https://en.wikipedia.org/wiki/Law_Commission_(England_and_Wales),Cities of London and Westminster
https://id.parliament.uk/QwBIA64o,Ofcom,532282.635983931,180493.890646352,https://en.wikipedia.org/wiki/Ofcom,Bermondsey and Old Southwark
https://id.parliament.uk/rxlvxhQt,West_Midlands_(county),411411.203230902,289134.922194551,https://en.wikipedia.org/wiki/West_Midlands_(county),Birmingham Hodge Hill
https://id.parliament.uk/qjZLh82x,Merseyside,333633.900840225,391561.809174852,https://en.wikipedia.org/wiki/Merseyside,Liverpool Riverside
https://id.parliament.uk/pRYc752g,Westminster_Magistrates'_Court,527451.774748151,181794.773605126,https://en.wikipedia.org/wiki/Westminster_Magistrates'_Court,Cities of London and Westminster
https://id.parliament.uk/Ug81L5yk,Broxbourne_(UK_Parliament_constituency),533622.709650056,204997.368162605,https://en.wikipedia.org/wiki/Broxbourne_(UK_Parliament_constituency),Broxbourne
https://id.parliament.uk/Ug81L5yk,Parliamentary_Estate,530204.697609081,179384.349370933,https://en.wikipedia.org/wiki/Parliamentary_Estate,Cities of London and Westminster
https://id.parliament.uk/ALKUQji0,Law_Commission_(England_and_Wales),529611.680780018,179579.386100985,https://en.wikipedia.org/wiki/Law_Commission_(England_and_Wales),Cities of London and Westminster
https://id.parliament.uk/8kqjOBrq,Sefton_Central_(UK_Parliament_constituency),334794.297723871,403377.423779774,https://en.wikipedia.org/wiki/Sefton_Central_(UK_Parliament_constituency),West Lancashire
https://id.parliament.uk/WbHKNcn0,St_Helens_South_(UK_Parliament_constituency),351547.984880276,394830.716002158,https://en.wikipedia.org/wiki/St_Helens_South_(UK_Parliament_constituency),St Helens South and Whiston
https://id.parliament.uk/WbHKNcn0,"Whiston,_Merseyside",347054.681916508,390984.679890614,"https://en.wikipedia.org/wiki/Whiston,_Merseyside",St Helens South and Whiston
https://id.parliament.uk/qt8zgoLd,Windermere,339263.381780828,496271.330879715,https://en.wikipedia.org/wiki/Windermere,Westmorland and Lonsdale
https://id.parliament.uk/6MyZjVtb,Esher,513911.165510765,164606.012469007,https://en.wikipedia.org/wiki/Esher,Esher and Walton
https://id.parliament.uk/6MyZjVtb,Walton-on-Thames,510506.53743351,166500.492854964,https://en.wikipedia.org/wiki/Walton-on-Thames,Esher and Walton
https://id.parliament.uk/7blSn8F1,Newcastle_upon_Tyne,425058.859830992,565113.403916087,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,Newcastle upon Tyne East
https://id.parliament.uk/7blSn8F1,North_East_England,408414.210557617,567277.265343636,https://en.wikipedia.org/wiki/North_East_England,Hexham
