,question,entity,easting,northing,wikipedia
26,https://id.parliament.uk/FdpZMfSX,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
27,https://id.parliament.uk/FRoMQPpu,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
28,https://id.parliament.uk/NJGkBvI3,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
29,https://id.parliament.uk/D8lMxoYj,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
30,https://id.parliament.uk/w5n0ZL5d,British_Transport_Police,529101.575954716,184073.071052818,https://en.wikipedia.org/wiki/British_Transport_Police
31,https://id.parliament.uk/JUsiisMX,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
32,https://id.parliament.uk/95SkrEF7,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
33,https://id.parliament.uk/gBgnbBiJ,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
34,https://id.parliament.uk/ahLUJLEC,Falmouth_Docks,181810.541746559,32498.1202032873,https://en.wikipedia.org/wiki/Falmouth_Docks
35,https://id.parliament.uk/Az8PCjAn,HM_Treasury,530040.731278165,179745.509299765,https://en.wikipedia.org/wiki/HM_Treasury
36,https://id.parliament.uk/k45Gg794,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
37,https://id.parliament.uk/Oljrpwtm,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
38,https://id.parliament.uk/4p2NprwD,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
39,https://id.parliament.uk/z12NJ5c9,Cabinet_Office,530118.174894204,179960.770401966,https://en.wikipedia.org/wiki/Cabinet_Office
40,https://id.parliament.uk/HukZmGca,North_East_England,408414.210557617,567277.265343636,https://en.wikipedia.org/wiki/North_East_England
41,https://id.parliament.uk/UH7cokLV,Department_for_Transport,529961.029005738,178954.030967228,https://en.wikipedia.org/wiki/Department_for_Transport
